iteration,n10,n20,n30,n50,n100
194,81.290047,48.721878,44.619115,51.026901,33.318373
195,81.290047,48.721878,44.619115,51.026901,33.318373
196,81.290047,48.721878,44.619115,51.026901,33.318373
197,81.290047,48.721878,44.619115,51.026901,33.318373
198,81.290047,48.721878,44.619115,51.026901,33.318373
199,81.290047,48.721878,44.619115,51.026901,33.318373
200,81.290047,48.721878,44.619115,51.026901,33.318373
201,81.290047,48.721878,44.619115,51.026901,33.318373
202,81.290047,48.721878,44.619115,51.026901,33.318373
203,81.290047,48.721878,44.619115,51.026901,33.318373
204,81.290047,48.721878,44.619115,51.026901,33.318373
205,81.290047,48.721878,44.619115,51.026901,33.318373
206,81.290047,48.721878,44.619115,51.026901,33.318373
207,81.290047,48.721878,44.619115,51.026901,33.318373
208,81.290047,48.721878,44.619115,51.026901,33.318373
209,81.290047,48.721878,44.619115,51.026901,33.318373
210,81.290047,48.721878,44.619115,51.026901,33.318373
211,81.290047,48.721878,44.619115,51.026901,33.318373
212,81.290047,48.721878,44.619115,51.026901,33.318373
213,81.290047,48.721878,44.619115,51.026901,33.318373
214,81.290047,48.721878,44.619115,51.026901,33.318373
215,81.290047,48.721878,44.619115,51.026901,33.318373
216,81.290047,48.721878,44.619115,51.026901,33.318373
217,81.290047,48.721878,44.619115,51.026901,33.318373
218,81.290047,48.721878,44.619115,51.026901,33.318373
219,81.290047,48.721878,44.619115,51.026901,33.318373
220,81.290047,48.721878,44.619115,51.026901,33.318373
221,81.290047,48.721878,44.619115,51.026901,33.318373
222,81.290047,48.721878,44.619115,51.026901,33.318373
223,81.290047,48.721878,44.619115,51.026901,33.318373
224,81.290047,48.721878,44.619115,51.026901,33.318373
225,81.290047,48.721878,44.619115,51.026901,33.318373
226,81.290047,48.721878,44.619115,51.026901,33.318373
227,81.290047,48.721878,44.619115,51.026901,33.318373
228,81.290047,48.721878,44.619115,51.026901,33.318373
229,81.290047,48.721878,44.619115,51.026901,33.318373
230,81.290047,48.721878,44.619115,51.026901,33.318373
231,81.290047,48.721878,44.619115,51.026901,33.318373
232,81.290047,48.721878,44.619115,51.026901,33.318373
233,81.290047,48.721878,44.619115,51.026901,33.318373
234,81.290047,48.721878,44.619115,51.026901,33.318373
235,81.290047,48.721878,43.818516,51.026901,33.318373
236,81.290047,48.721878,43.818516,51.026901,33.318373
237,81.290047,48.721878,43.818516,51.026901,33.318373
238,81.290047,48.721878,43.818516,51.026901,33.318373
239,81.290047,48.721878,43.818516,51.026901,33.318373
240,81.290047,48.721878,43.818516,51.026901,33.318373
241,81.290047,48.721878,43.818516,51.026901,33.318373
242,81.290047,48.721878,43.818516,51.026901,33.318373
243,81.290047,48.721878,43.818516,51.026901,33.318373
244,81.290047,48.721878,43.818516,51.026901,33.318373
245,81.290047,48.721878,43.818516,51.026901,33.318373
246,81.290047,48.721878,43.818516,51.026901,33.318373
247,81.290047,48.721878,43.818516,51.026901,33.318373
248,81.290047,48.721878,43.818516,51.026901,33.318373
249,81.290047,48.721878,43.818516,51.026901,33.318373
250,81.290047,48.721878,43.818516,51.026901,33.318373
251,81.290047,48.721878,43.818516,51.026901,33.318373
252,81.290047,48.721878,43.818516,51.026901,33.318373
253,81.290047,48.721878,43.818516,51.026901,33.318373
254,81.290047,48.721878,43.818516,51.026901,33.318373
255,81.290047,48.721878,43.818516,51.026901,33.318373
256,81.290047,48.721878,43.818516,51.026901,33.318373
257,81.290047,48.721878,43.818516,51.026901,33.318373
258,81.290047,48.721878,43.818516,51.026901,33.318373
259,81.290047,48.721878,43.818516,51.026901,33.318373
260,81.290047,48.721878,43.818516,51.026901,33.318373
261,81.290047,48.721878,43.818516,51.026901,33.318373
262,81.290047,48.721878,43.818516,51.026901,33.318373
263,81.290047,48.721878,43.818516,51.026901,33.318373
264,81.290047,48.721878,43.818516,51.026901,33.318373
265,81.290047,48.721878,43.818516,51.026901,33.318373
266,81.290047,48.721878,43.818516,51.026901,33.318373
267,81.290047,48.721878,43.818516,51.026901,33.318373
268,81.290047,48.721878,43.818516,51.026901,33.318373
269,81.290047,48.721878,43.818516,51.026901,33.318373
270,81.290047,48.721878,43.818516,51.026901,33.318373
271,80.809335,48.721878,43.818516,51.026901,33.318373
272,80.809335,48.721878,43.818516,51.026901,33.318373
273,80.809335,48.721878,43.818516,51.026901,33.318373
274,80.809335,48.721878,43.818516,51.026901,33.318373
275,80.809335,48.721878,43.818516,51.026901,33.318373
276,80.809335,48.721878,43.818516,51.026901,33.318373
277,80.809335,48.721878,43.818516,51.026901,33.318373
278,80.809335,48.721878,43.818516,51.026901,33.318373
279,80.809335,48.721878,43.818516,51.026901,33.318373
280,80.809335,48.721878,43.818516,51.026901,33.318373
281,80.809335,48.721878,43.818516,51.026901,33.318373
282,80.809335,48.721878,43.818516,51.026901,33.318373
283,80.809335,48.721878,43.818516,51.026901,33.318373
284,80.809335,48.721878,43.818516,51.026901,33.318373
285,80.809335,48.721878,43.818516,51.026901,33.318373
286,80.809335,48.721878,43.818516,51.026901,33.318373
287,80.809335,48.721878,43.818516,51.026901,33.318373
288,80.809335,48.721878,43.818516,51.026901,33.318373
289,80.809335,48.721878,43.818516,51.026901,33.318373
290,80.809335,48.721878,43.818516,51.026901,33.318373
291,80.809335,48.721878,43.818516,51.026901,33.318373
292,80.809335,48.721878,43.818516,51.026901,33.318373
293,80.809335,48.721878,43.818516,51.026901,33.318373
294,80.809335,48.721878,43.818516,51.026901,33.318373
295,80.809335,48.721878,43.818516,51.026901,33.318373
296,80.809335,48.721878,43.818516,51.026901,33.318373
297,80.809335,48.721878,43.818516,51.026901,33.318373
298,80.809335,48.721878,43.818516,51.026901,33.318373
299,80.809335,48.721878,43.818516,51.026901,33.318373
300,80.809335,48.721878,43.818516,51.026901,33.318373
301,80.809335,48.721878,43.818516,51.026901,33.318373
302,80.809335,48.721878,43.818516,51.026901,33.318373
303,80.809335,48.721878,43.818516,51.026901,33.318373
304,80.809335,48.721878,43.818516,51.026901,33.318373
305,80.809335,48.721878,43.818516,51.026901,33.318373
306,80.809335,48.721878,43.818516,51.026901,33.318373
307,80.809335,48.721878,43.818516,51.026901,33.318373
308,80.809335,48.721878,43.818516,51.026901,33.318373
309,80.809335,48.721878,43.818516,51.026901,33.318373
310,75.584334,48.721878,43.818516,51.026901,33.318373
311,75.584334,48.721878,43.818516,51.026901,30.625811
312,75.584334,48.721878,43.818516,51.026901,30.625811
313,75.584334,48.721878,43.818516,51.026901,30.625811
314,75.584334,48.721878,43.818516,51.026901,30.625811
315,75.584334,48.721878,43.818516,51.026901,30.625811
316,75.584334,48.721878,43.818516,51.026901,30.625811
317,75.584334,48.721878,43.818516,51.026901,30.625811
318,75.584334,48.721878,43.818516,51.026901,30.625811
319,75.584334,48.721878,43.818516,51.026901,30.625811
320,75.584334,48.721878,43.818516,51.026901,30.625811
321,75.584334,48.721878,43.818516,51.026901,30.625811
322,75.584334,48.721878,43.818516,51.026901,30.625811
323,75.584334,48.721878,43.818516,51.026901,30.625811
324,75.584334,48.721878,43.818516,51.026901,30.625811
325,75.584334,48.721878,43.818516,51.026901,30.625811
326,75.584334,48.721878,43.818516,51.026901,30.625811
327,75.584334,48.721878,43.818516,40.906203,30.625811
328,75.584334,48.721878,43.818516,40.906203,30.625811
329,75.584334,48.721878,43.818516,40.906203,30.625811
330,75.584334,48.721878,43.818516,40.906203,30.625811
331,75.584334,48.721878,43.818516,40.906203,30.625811
332,75.584334,48.721878,43.818516,40.906203,30.625811
333,75.584334,48.721878,43.818516,40.906203,30.625811
